feature,weight
intercept,1.6653345369377348e-16
OPS,-1.115752955468423e-16
wOBA,2.231896127509235e-17
wRC+,-5.985445209524367e-17
타자WAR,5.103719422734705e-17
타자WPA,1.0304582144648102e-16
GPA,3.7417622765339623e-17
XR27,9.223133278399248e-18
RC27,-6.039160144039727e-18
ERA,5.147042050305904e-17
FIP,-9.437162295008904e-17
WHIP,-4.2674825129364134e-17
ERA+,-1.9225975555445842e-17
FIP+,-1.60821587363037e-17
투수WAR,3.565417731821467e-17
투수WPA,-1.5327235803481647e-17
승률,0.9999999999999997
