feature,mean_importance
RC27,-5.563274694595205e-06
PWAR,-2.9936997542082375e-06
BWAR,9.487968526669753e-07
wRC+,5.518043391573632e-06
FIP,2.8299417054194576e-05
WHIP,3.481240517702155e-05
ERA,0.00011229651339244493
XR27,0.00024007708920485002
GPA,0.0006375481152994311
wOBA,0.0014159203983238494
PWPA,0.0031251501278643226
BWPA,0.004765190266632101
