feature,weight
intercept,0.4891654645602423
BWAR,-0.0013013198158154777
BWPA,0.05790722865085824
ERA,-0.009314975410511576
FIP,-0.0031247333874626086
GPA,0.02185633749642532
PWAR,0.000459062640681932
PWPA,0.058102412225019044
RC27,0.0012702611260952288
WHIP,0.006966406940918323
XR27,0.014447423228118629
wOBA,-0.02760319456931324
wRC+,-0.0030925721809846357
