name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,0.058919881417640874,0.44
2_DecisionTree,Decision Tree,rmse,0.051939955937090145,10.69
3_Linear,Linear,rmse,0.009979746466588996,5.97
4_Default_Xgboost,Xgboost,rmse,0.04238417728610578,1.8
5_Default_NeuralNetwork,Neural Network,rmse,0.14202158868582948,0.61
6_Default_RandomForest,Random Forest,rmse,0.052102465231478934,1.97
Ensemble,Ensemble,rmse,0.00997974646658899,0.15
