feature,shap_importance
PWAR,0.04429178
BWAR,0.013117767
BWPA,0.008342679
wRC+,0.005742935
PWPA,0.0048955325
RC27,0.0047964407
ERA,0.004384429
WHIP,0.002071645
XR27,0.0017814543
wOBA,0.0012658626
FIP,0.00044629766
GPA,0.00024371964
