ÆÀ,¿¬µµ,ÃâÀå,¿ÏÅõ,¿ÏºÀ,¼±¹ß,½Â,ÆÐ,¼¼,È¦µå,ÀÌ´×,½ÇÁ¡,ÀÚÃ¥,Å¸ÀÚ,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,º¼³Ý,°í4,»ç±¸,»ïÁø,º¸Å©,ÆøÅõ,ERA,FIP,WHIP,ERA+,FIP+,Åõ¼öWAR,Åõ¼öWPA
KIA,22,675,0,0,144,70,73,38,74,1279.2,679,599,5636,1286,233,22,120,526,20,67,1042,2,58,4.21,4.27,1.42,96.8,95.9,12.68,-2.45
»ï¼º,16,647,2,0,144,65,78,34,60,1282.1,869,804,5799,1507,251,20,193,518,6,87,935,8,52,5.64,5.69,1.58,93.4,91.7,12.55,-20.19
ÇÑÈ­,20,705,1,1,144,46,95,21,54,1265,820,744,5756,1400,240,18,158,609,22,79,1019,5,77,5.29,5.15,1.59,89.3,93,12.32,-12.46
KT,19,567,2,1,144,71,70,37,59,1276,661,611,5529,1302,225,25,118,481,17,61,847,6,50,4.31,4.51,1.4,96,91.2,12.31,-1.44
ÇÑÈ­,15,672,5,3,144,68,76,32,44,1279.2,800,727,5771,1349,232,12,157,648,38,96,920,9,85,5.11,5.43,1.56,97.4,90.9,11.91,-14.97
·Ôµ¥,19,664,1,1,144,48,93,16,47,1270.1,764,688,5726,1405,241,20,120,546,33,71,1032,4,103,4.87,4.39,1.54,86,95.6,11.8,-12.89
ÇÑÈ­,19,649,2,0,144,58,86,28,43,1268.2,737,679,5655,1407,238,19,120,526,9,72,934,4,66,4.82,4.55,1.52,86,91.4,11.57,-6.91
»ï¼º,19,627,4,4,144,60,83,29,60,1275.1,731,658,5638,1332,254,36,125,523,9,70,924,5,49,4.64,4.6,1.46,93.5,92.7,11.4,-6.64
·Ôµ¥,16,668,2,1,144,66,78,27,59,1266.1,865,792,5785,1486,276,32,161,585,27,78,1009,5,82,5.63,5.36,1.64,92.8,97.5,11.08,-20.15
NC,18,622,1,0,144,58,85,24,51,1264,844,773,5701,1443,248,20,186,537,17,68,1010,6,92,5.5,5.54,1.57,94.3,94.9,10.98,-19.46
·Ôµ¥,21,732,1,1,144,65,71,37,76,1271,808,760,5759,1333,253,16,133,657,19,89,1055,5,102,5.38,4.75,1.57,84.5,94,10.9,-7.04
SSG,21,660,0,0,144,66,64,25,56,1276.2,741,687,5706,1296,214,14,149,630,27,77,1012,9,41,4.84,4.86,1.51,92.6,93.5,10.43,-9.41
ÇÑÈ­,21,717,1,0,144,49,83,21,62,1258.2,739,654,5672,1208,223,19,115,673,23,101,1011,11,56,4.68,4.7,1.49,93.7,94.8,9.97,-6.54
kt,16,693,1,1,144,53,89,27,48,1273,927,839,5896,1593,315,38,145,560,9,84,980,9,77,5.93,5.23,1.69,88.1,99.9,8.82,-19.72
µÎ»ê,22,670,0,0,144,60,82,32,68,1279.1,721,634,5700,1335,206,19,117,555,11,70,977,5,70,4.46,4.44,1.48,89.2,89.4,8.53,-7.3
SK,20,686,1,0,144,51,92,20,53,1259.1,846,783,5727,1343,225,17,162,670,12,84,953,5,85,5.6,5.48,1.6,86.2,88.9,8.35,-18.95
»ï¼º,17,613,1,0,144,55,84,27,34,1281.1,911,840,5916,1541,281,28,187,548,15,118,1063,4,74,5.9,5.5,1.63,86,91.7,6.74,-20.24
ÇÑÈ­,22,749,1,0,144,46,95,25,81,1268.1,759,679,5710,1315,268,22,112,602,39,83,974,4,65,4.82,4.48,1.51,84,91.1,6.62,-11.27
