feature,shap_importance
PWAR,0.04461451998977313
BWAR,0.012165671349879968
wRC+,0.01125535645392417
PWPA,0.0058315784679355154
GPA,0.0014708719135802491
BWPA,0.0
ERA,0.0
FIP,0.0
RC27,0.0
WHIP,0.0
XR27,0.0
wOBA,0.0
