feature,mean_importance
BWPA,0.0
ERA,0.0
FIP,0.0
GPA,0.0
RC27,0.0
WHIP,0.0
XR27,0.0
wOBA,0.0
wRC+,0.0
BWAR,0.0003554104777520578
PWPA,0.000600553936137784
PWAR,0.0011491093797629925
