feature,shap_importance
PWAR,0.026527444026325064
BWAR,0.008334006188851247
wRC+,0.0005719881824469286
BWPA,0.0
ERA,0.0
FIP,0.0
GPA,0.0
PWPA,0.0
RC27,0.0
WHIP,0.0
XR27,0.0
wOBA,0.0
