feature,mean_importance
RC27,1.925929944387236e-34
XR27,7.318533788671496e-34
wOBA,1.8103741477240018e-33
투수WAR,1.8488927466117464e-33
투수WPA,1.925929944387236e-33
ERA+,2.04148574105047e-33
WHIP,2.080004339938215e-33
타자WAR,2.2340787354891935e-33
FIP+,2.5422275265911512e-33
GPA,3.967415685437706e-33
ERA,4.776306262080345e-33
FIP,7.703719777548943e-33
wRC+,8.705203348630307e-33
타자WPA,1.5908181340638567e-32
OPS,2.0376338811616955e-32
승률,0.006304253472222221
