feature,shap_importance
승률,0.043113425925925916
OPS,8.328573987632465e-17
타자WPA,7.035293188382589e-17
FIP,6.138913096859194e-17
wRC+,3.572895484084361e-17
타자WAR,2.9644593091960014e-17
ERA,2.8415406705937e-17
GPA,2.7638301438450512e-17
WHIP,2.5944128634152006e-17
투수WAR,2.5270249275209478e-17
wOBA,1.4790316701138964e-17
ERA+,1.3436067920406949e-17
FIP+,1.127557930720758e-17
투수WPA,7.997290508055212e-18
XR27,6.2104545488522754e-18
RC27,4.419309538702979e-18
