연도,구단,경기수,승수,타율,타점,홈런,안타수,단타,2루타,3루타,출루율,장타율,OPS,득점권 타수,득점권 안타,득점권,UC타수,UC안타,UC비율,UC홈런,경기수,타석수,타수,득점,볼넷,사구,도루시도,도루성공,도루 성공률,희생번트시도,희생번트성공,희타 성공률,희비,대타수,대타 안타,대타율,병살,실책,피삼진
17,5:일본햄,143,60,0.242,482,108,"1,147",832,189,18,0.313,0.357,0.67,"1,152",280,0.243,"2,292",552,0.241,46,143,"5,385","4,749",509,468,37,113,86,0.761,120,103,0.858,28,151,25,0.166,95,80,"1,122"
17,6:롯데,143,54,0.233,455,95,"1,098",759,215,29,0.297,0.351,0.648,"1,106",263,0.238,"2,174",502,0.231,43,143,"5,286","4,718",479,387,57,102,78,0.765,114,98,0.86,26,194,32,0.165,85,76,"1,099"
16,1:히로시마,143,89,0.272,649,153,"1,338",947,203,35,0.343,0.421,0.765,"1,292",341,0.264,"2,163",591,0.273,57,143,"5,582","4,914",684,500,47,170,118,0.694,108,91,0.843,29,275,62,0.225,85,67,"1,063"
16,2:거인,143,71,0.251,497,128,"1,203",839,217,19,0.31,0.384,0.694,"1,157",286,0.247,"2,240",586,0.262,67,143,"5,356","4,797",519,389,35,88,62,0.705,139,112,0.806,23,213,37,0.174,100,85,961
16,3:DeNA,143,69,0.249,548,140,"1,205",850,194,21,0.309,0.385,0.694,"1,146",321,0.28,"2,140",538,0.251,58,143,"5,364","4,838",572,373,54,100,67,0.67,110,81,0.736,18,278,67,0.241,92,73,"1,049"
16,4:한신,143,64,0.245,475,90,"1,171",860,204,17,0.312,0.351,0.662,"1,118",278,0.249,"2,193",519,0.237,32,143,"5,401","4,789",506,435,51,84,59,0.702,114,88,0.772,38,300,59,0.197,99,97,"1,149"
16,5:야쿠르트,143,64,0.256,565,113,"1,234",891,210,20,0.331,0.378,0.709,"1,296",341,0.263,"2,010",525,0.261,56,143,"5,509","4,828",594,524,39,105,82,0.781,109,85,0.78,33,248,62,0.25,117,59,907
16,6:중일,143,58,0.245,473,89,"1,180",861,209,21,0.309,0.353,0.662,"1,170",280,0.239,"2,259",535,0.237,37,143,"5,405","4,813",500,410,46,88,60,0.682,138,108,0.783,28,260,61,0.235,103,65,"1,001"
16,1:일본햄,143,87,0.266,585,121,"1,277",964,179,13,0.34,0.385,0.725,"1,306",346,0.265,"2,018",552,0.274,48,143,"5,550","4,795",619,496,53,171,132,0.772,187,178,0.952,28,104,24,0.231,79,65,"1,076"
16,2:소프트뱅크,143,83,0.261,609,114,"1,240",908,188,30,0.341,0.386,0.727,"1,292",345,0.267,"1,934",519,0.268,44,143,"5,526","4,744",637,537,57,150,107,0.713,166,148,0.892,40,138,27,0.196,110,57,956
