feature,mean_importance
RC27,-2.217513791647305e-05
FIP,-4.046136468518731e-06
XR27,-3.9753934492589654e-06
GPA,-1.6286416959672423e-06
OPS,0.0
투수WPA,1.1606084548025077e-05
투수WAR,1.524215598265443e-05
FIP+,1.5683937423011583e-05
wOBA,2.0333952841432346e-05
WHIP,3.734667616115158e-05
ERA,5.374549350035539e-05
타자WPA,0.00010379793041574736
wRC+,0.00033325627592864195
타자WAR,0.0003606298070472255
ERA+,0.0022318611169874288
