feature,shap_importance
ERA+,0.047249027
타자WAR,0.010442087
wRC+,0.007916382
투수WAR,0.0067472365
타자WPA,0.0025227617
RC27,0.0022062496
GPA,0.0017245567
wOBA,0.0014698319
투수WPA,0.0012430222
ERA,0.0009947516
WHIP,0.0008516635
FIP+,0.00076804083
FIP,0.0004717617
XR27,9.7292854e-05
OPS,0.0
