feature,shap_importance
승률,0.046256315
타자WPA,0.004672502
OPS,0.0005537928
wOBA,0.0004863236
ERA,6.5710665e-05
RC27,3.3767894e-05
wRC+,8.50299e-06
타자WAR,0.0
GPA,0.0
XR27,0.0
FIP,0.0
WHIP,0.0
ERA+,0.0
FIP+,0.0
투수WAR,0.0
투수WPA,0.0
